Name,Quantity,Unit Cost (INR) (without tax),Cost (INR) (without tax),USD ( without tax ),Link
ESP32,1,425,425,4.521276596,https://robocraze.com/products/esp32-development-board?variant=40193649803417&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
MPU6050,1,154,154,1.638297872,https://robocraze.com/products/mpu-6050-triple-axis-accelerometer-gyroscope-module?variant=40192322011289&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18650 Lipo Battery,2,129,258,2.744680851,https://robocraze.com/products/3-7v-2600mah-18650-battery?variant=44016380608736&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
Buck Converter,1,40,40,0.4255319149,https://robocraze.com/products/lm2596-mini-360-power-supply-step-down-module?variant=40194415001753&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
3D Parts,1,0,0,0,https://india.numakers.com/products/pla-filament?variant=44123925676201
Shipping Charges and Taxes,,,0,0,
Total,,,877,9.329787234,
